Bias, Current, error
-0.98817,-4.04644,0.1109
-0.98417,-4.02832,0.11246
-0.98017,-4.00943,0.1139
-0.97617,-3.98976,0.11538
-0.97217,-3.97051,0.11693
-0.96817,-3.95041,0.11847
-0.96417,-3.93037,0.11998
-0.96017,-3.90994,0.12146
-0.95617,-3.88936,0.12274
-0.95217,-3.86802,0.12397
-0.94817,-3.84716,0.1252
-0.94417,-3.8263,0.12633
-0.94017,-3.80372,0.12742
-0.93617,-3.78047,0.12842
-0.93217,-3.75706,0.12925
-0.92817,-3.73354,0.12995
-0.92417,-3.70879,0.13064
-0.92017,-3.68454,0.1311
-0.91617,-3.65929,0.13153
-0.91217,-3.6344,0.13205
-0.90817,-3.61021,0.13245
-0.90417,-3.58557,0.13285
-0.90017,-3.56021,0.13316
-0.89617,-3.53357,0.13339
-0.89217,-3.50707,0.13377
-0.88817,-3.47983,0.13403
-0.88417,-3.45224,0.13426
-0.88017,-3.42516,0.1345
-0.87617,-3.39913,0.13476
-0.87217,-3.37252,0.13504
-0.86817,-3.34514,0.13514
-0.86417,-3.31906,0.1351
-0.86017,-3.29135,0.13519
-0.85617,-3.26378,0.13526
-0.85217,-3.23662,0.13525
-0.84817,-3.20899,0.13519
-0.84417,-3.18015,0.13509
-0.84017,-3.1514,0.13503
-0.83617,-3.12299,0.13483
-0.83217,-3.09262,0.13448
-0.82817,-3.06217,0.13406
-0.82417,-3.03253,0.13347
-0.82017,-3.00261,0.13293
-0.81617,-2.97304,0.13241
-0.81217,-2.94448,0.13187
-0.80817,-2.91597,0.13126
-0.80417,-2.88769,0.1307
-0.80017,-2.85808,0.13023
-0.79617,-2.82933,0.12986
-0.79217,-2.80067,0.12944
-0.78817,-2.77195,0.1288
-0.78417,-2.74349,0.12809
-0.78017,-2.71496,0.12728
-0.77617,-2.6859,0.12644
-0.77217,-2.65737,0.12563
-0.76817,-2.62797,0.12483
-0.76417,-2.5987,0.12395
-0.76017,-2.56885,0.12302
-0.75617,-2.53968,0.12215
-0.75217,-2.51111,0.1214
-0.74817,-2.48305,0.12065
-0.74417,-2.45494,0.11994
-0.74017,-2.42806,0.1192
-0.73617,-2.40107,0.11835
-0.73217,-2.37383,0.11749
-0.72817,-2.34712,0.1167
-0.72417,-2.32057,0.11584
-0.72017,-2.29311,0.1148
-0.71617,-2.26583,0.11375
-0.71217,-2.23918,0.11281
-0.70817,-2.2122,0.11187
-0.70417,-2.18561,0.11098
-0.70017,-2.15938,0.1101
-0.69617,-2.13374,0.10925
-0.69217,-2.10889,0.10847
-0.68817,-2.08418,0.10773
-0.68417,-2.06014,0.10696
-0.68017,-2.03629,0.10628
-0.67617,-2.01229,0.1056
-0.67217,-1.98895,0.10492
-0.66817,-1.9664,0.10424
-0.66417,-1.94367,0.10362
-0.66017,-1.92113,0.103
-0.65617,-1.89924,0.10232
-0.65217,-1.87654,0.10163
-0.64817,-1.85398,0.10092
-0.64417,-1.83142,0.10027
-0.64017,-1.80929,0.09956
-0.63617,-1.78724,0.09893
-0.63217,-1.76617,0.09833
-0.62817,-1.74499,0.09773
-0.62417,-1.72445,0.09707
-0.62017,-1.70359,0.09648
-0.61617,-1.68286,0.09594
-0.61217,-1.6624,0.09542
-0.60817,-1.64239,0.09498
-0.60417,-1.62233,0.09451
-0.60017,-1.60284,0.09405
-0.59617,-1.58371,0.09363
-0.59217,-1.56535,0.09315
-0.58817,-1.54673,0.09273
-0.58417,-1.52779,0.09231
-0.58017,-1.50901,0.09186
-0.57617,-1.49123,0.09146
-0.57217,-1.47267,0.09104
-0.56817,-1.45442,0.09056
-0.56417,-1.43662,0.09009
-0.56017,-1.41927,0.08961
-0.55617,-1.40187,0.08918
-0.55217,-1.38512,0.08885
-0.54817,-1.3683,0.08844
-0.54417,-1.3512,0.08802
-0.54017,-1.33418,0.08743
-0.53617,-1.31716,0.08689
-0.53217,-1.30061,0.08626
-0.52817,-1.28404,0.08566
-0.52417,-1.26716,0.08486
-0.52017,-1.25031,0.08401
-0.51617,-1.23322,0.08319
-0.51217,-1.21749,0.0832
-0.50817,-1.2023,0.0832
-0.50417,-1.18676,0.08303
-0.50017,-1.17151,0.0829
-0.49617,-1.15628,0.08283
-0.49217,-1.1411,0.08266
-0.48817,-1.1264,0.0823
-0.48417,-1.11162,0.08191
-0.48017,-1.09685,0.08153
-0.47617,-1.08216,0.08089
-0.47217,-1.0677,0.08033
