Bias,Current,error
-0.82417,-2.19681,0.15105
-0.82017,-2.18531,0.15097
-0.81617,-2.17302,0.15088
-0.81217,-2.16125,0.15086
-0.80817,-2.1484,0.15073
-0.80417,-2.13526,0.15052
-0.80017,-2.12201,0.15017
-0.79617,-2.10938,0.1499
-0.79217,-2.09726,0.14959
-0.78817,-2.08528,0.14929
-0.78417,-2.07458,0.14912
-0.78017,-2.06446,0.14905
-0.77617,-2.05359,0.14891
-0.77217,-2.04296,0.14883
-0.76817,-2.0307,0.14857
-0.76417,-2.01888,0.14815
-0.76017,-2.00646,0.14776
-0.75617,-1.99482,0.14747
-0.75217,-1.98193,0.14711
-0.74817,-1.96951,0.14676
-0.74417,-1.9571,0.14645
-0.74017,-1.9449,0.14618
-0.73617,-1.93163,0.14589
-0.73217,-1.92021,0.14563
-0.72817,-1.90931,0.14545
-0.72417,-1.89803,0.1452
-0.72017,-1.88605,0.14495
-0.71617,-1.87462,0.14478
-0.71217,-1.86329,0.14448
-0.70817,-1.85198,0.14423
-0.70417,-1.84099,0.14403
-0.70017,-1.83279,0.1442
-0.69617,-1.82424,0.14421
-0.69217,-1.8145,0.14408
-0.68817,-1.80377,0.14376
-0.68417,-1.79255,0.14346
-0.68017,-1.78116,0.14321
-0.67617,-1.7691,0.1429
-0.67217,-1.75653,0.14255
-0.66817,-1.74439,0.14219
-0.66417,-1.73281,0.142
-0.66017,-1.72021,0.14167
-0.65617,-1.70803,0.14132
-0.65217,-1.6953,0.14108
-0.64817,-1.68386,0.14096
-0.64417,-1.67214,0.14084
-0.64017,-1.66132,0.14074
-0.63617,-1.65145,0.14068
-0.63217,-1.64103,0.14064
-0.62817,-1.63094,0.14054
-0.62417,-1.6204,0.14029
-0.62017,-1.60962,0.14004
-0.61617,-1.59862,0.13977
-0.61217,-1.5879,0.13953
-0.60817,-1.57709,0.13936
-0.60417,-1.5667,0.13921
-0.60017,-1.55641,0.139
-0.59617,-1.54525,0.13856
-0.59217,-1.53389,0.13817
-0.58817,-1.52271,0.13779
-0.58417,-1.51062,0.13743
-0.58017,-1.49958,0.13718
-0.57617,-1.48706,0.13675
-0.57217,-1.47425,0.13624
-0.56817,-1.46123,0.13574
-0.56417,-1.44907,0.13527
-0.56017,-1.43687,0.1348
-0.55617,-1.42525,0.13437
-0.55217,-1.41358,0.13389
-0.54817,-1.40259,0.13346
-0.54417,-1.39044,0.13295
-0.54017,-1.37885,0.13247
-0.53617,-1.36748,0.13195
-0.53217,-1.35599,0.13138
-0.52817,-1.34502,0.13075
-0.52417,-1.33345,0.12996
-0.52017,-1.32149,0.12932
-0.51617,-1.3099,0.12872
-0.51217,-1.29818,0.12794
-0.50817,-1.28546,0.12707
-0.50417,-1.27327,0.12614
-0.50017,-1.26166,0.12542
-0.49617,-1.24997,0.12481
-0.49217,-1.23902,0.12442
-0.48817,-1.22772,0.12388
-0.48417,-1.21411,0.12284
-0.48017,-1.20045,0.12172
-0.47617,-1.18663,0.12057
-0.47217,-1.17265,0.11939
-0.46817,-1.15863,0.11815
-0.46416,-1.14398,0.11677
-0.46016,-1.12911,0.11528
-0.45616,-1.11394,0.11374
-0.45216,-1.09911,0.11211
-0.44816,-1.08372,0.11041
-0.44416,-1.06956,0.10881
-0.44016,-1.05487,0.10705
-0.43617,-1.0402,0.1053
-0.43217,-1.02576,0.1036
-0.42817,-1.01193,0.10192
-0.42417,-0.99791,0.10028
-0.42017,-0.98387,0.09857
-0.41617,-0.97011,0.09702
-0.41217,-0.95616,0.09547
-0.40817,-0.94289,0.09398
-0.40417,-0.92898,0.09248
-0.40016,-0.91565,0.09104
-0.39616,-0.90208,0.08959
-0.39216,-0.88836,0.08811
-0.38816,-0.87419,0.08666
-0.38416,-0.86063,0.08527
-0.38016,-0.84685,0.08389
-0.37616,-0.83326,0.08252
-0.37216,-0.81848,0.08045
-0.36816,-0.8018,0.07764
-0.36416,-0.7859,0.07503
-0.36016,-0.77015,0.07256
-0.35616,-0.75494,0.07023
-0.35216,-0.73983,0.06804
-0.34816,-0.72536,0.06597
-0.34416,-0.71143,0.06408
-0.34016,-0.69794,0.06229
-0.33616,-0.68467,0.06058
-0.33216,-0.67163,0.05886
-0.32816,-0.6587,0.05725
-0.32416,-0.64611,0.05571
-0.32016,-0.6339,0.05427
-0.31616,-0.6221,0.05294
-0.31216,-0.60999,0.05158
-0.30816,-0.59858,0.05036
-0.30416,-0.58669,0.04909
-0.30016,-0.57482,0.04792
-0.29616,-0.56388,0.04679
-0.29216,-0.55284,0.0457
-0.28816,-0.54151,0.04463
-0.28416,-0.53039,0.04353
-0.28016,-0.51989,0.04255
-0.27616,-0.50921,0.04159
-0.27216,-0.49869,0.04061
-0.26816,-0.48831,0.03969
-0.26416,-0.47809,0.03878
-0.26016,-0.46774,0.03784
-0.25616,-0.45765,0.03696
-0.25216,-0.44808,0.03612
-0.24816,-0.43846,0.0353
-0.24416,-0.42904,0.03446
-0.24016,-0.41989,0.03367
-0.23616,-0.41111,0.03291
-0.23216,-0.40221,0.03217
-0.22816,-0.39375,0.03146
-0.22416,-0.38521,0.03074
-0.22016,-0.37642,0.03005
-0.21616,-0.36793,0.02939
-0.21216,-0.35992,0.02876
-0.20816,-0.35158,0.02809
-0.20416,-0.34341,0.02748
-0.20016,-0.33508,0.02687
-0.19616,-0.32667,0.02631
-0.19216,-0.31861,0.02577
-0.18816,-0.31036,0.02526
-0.18416,-0.30187,0.02473
-0.18016,-0.29392,0.02418
